DISTRICT,STATION,TEMP,RH,WBGT,EHI,EHI_REGION,EHI_350 (shaded),REGION_350 (shaded),LOGGED_AT,LOGGED_AT (PST),EHI_350 (in shade),REGION_350 (in shade),Light Work Heat Stress Zone,,Hard Labor Heat Stress Zone,LOGGED_AT (IST),2025-05-03 08:27:28CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:27:28,CENTRAL_DELHI,PRAGATI_MAIDAN,25.3,86.0,27.4Zone 4,27.4,Zone 4,57.3Zone 5,57.3,Zone 5,2025-05-03 08:31:46CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:31:46
CENTRAL_DELHI,PUSA_AMFU,33.2,45.0,,35.6,,,,,,59.7,,Region 4,,Region 5,2025-05-04 16:37:29,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,32.6,46.0,,34.8,,,,,,59.2,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,33.3,48.0,,36.5,,,,,,60.8,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,33.1,40.0,,34.5,,,,,,54.7,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,34.1,51.0,,38.9,,,,,,63.0,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,33.0,46.0,,35.5,,,,,,59.7,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,32.1,37.0,,32.6,,,,,,45.3,,Region 4,,Region 4,2025-05-04 17:45:29,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,32.4,35.0,,32.7,,,,,,45.2,,Region 4,,Region 4,2025-05-04 17:45:29,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,32.2,34.0,,32.3,,,,,,44.7,,Region 4,,Region 4,2025-05-04 17:45:29,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,32.8,38.0,,33.7,,,,,,50.3,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,32.3,39.0,,33.2,,,,,,49.0,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,33.4,33.0,,33.7,,,,,,46.3,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
DELHI,IGNOU,33.9,35.0,,34.7,,,,,,51.8,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,32.4,47.0,,34.7,,,,,,59.2,,Region 4,,Region 5,2025-05-04 17:45:29,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,32.8,34.0,,33.1,,,,,,45.6,,Region 4,,Region 4,2025-05-04 17:45:29,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,31.1,40.0,,31.7,,,,,,44.6,,Region 4,,Region 4,2025-05-04 18:47:51,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,31.7,50.0,,34.0,,,,,,59.2,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,33.4,46.0,,36.2,,,,,,60.3,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,31.8,42.0,,32.9,,,,,,50.3,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,33.5,52.0,,37.9,,,,,,62.4,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,31.5,48.0,,33.4,,,,,,56.3,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,30.9,42.0,,31.6,,,,,,45.4,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,31.5,36.0,,31.7,,,,,,44.2,,Region 4,,Region 4,2025-05-04 18:47:51,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,30.9,43.0,,31.8,,,,,,46.6,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,31.4,43.0,,32.5,,,,,,49.4,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
DELHI,IGNOU,32.2,42.0,,33.5,,,,,,52.5,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,31.2,49.0,,33.1,,,,,,55.9,,Region 4,,Region 5,2025-05-04 18:47:51,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,31.8,37.0,,32.2,,,,,,44.9,,Region 4,,Region 4,2025-05-04 18:47:51,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,30.7,50.0,,32.4,,,,,,54.3,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,32.4,56.0,,36.6,,,,,,62.1,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,28.1,57.0,,29.3,,,,,,47.0,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,30.9,53.0,,33.2,,,,,,58.7,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,30.0,59.0,,32.6,,,,,,59.3,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,30.9,44.0,,31.9,,,,,,47.9,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,29.9,47.0,,30.9,,,,,,46.0,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,32.2,56.0,,36.2,,,,,,61.8,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,30.4,42.0,,31.0,,,,,,44.0,,Region 4,,Region 4,2025-05-04 19:38:06,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,32.0,48.0,,34.2,,,,,,58.9,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,29.0,53.0,,30.2,,,,,,47.9,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,30.3,48.0,,31.5,,,,,,49.5,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,30.1,45.0,,30.9,,,,,,44.7,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
DELHI,IGNOU,29.3,55.0,,30.9,,,,,,52.0,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,29.6,58.0,,31.8,,,,,,57.0,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,30.2,46.0,,31.2,,,,,,46.5,,Region 4,,Region 5,2025-05-04 19:38:06,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.4,64.0,,32.3,,,,,,59.8,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,30.7,64.0,,34.8,,,,,,61.8,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,29.6,58.0,,31.8,,,,,,57.0,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,29.5,55.0,,31.2,,,,,,53.2,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,31.9,62.0,,37.0,,,,,,63.1,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,29.2,60.0,,31.4,,,,,,56.8,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,28.3,60.0,,29.9,,,,,,51.5,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,29.0,52.0,,30.1,,,,,,46.7,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,29.5,51.0,,30.7,,,,,,48.5,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,30.3,46.0,,31.3,,,,,,47.1,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,31.0,57.0,,34.0,,,,,,60.3,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,28.4,58.0,,29.9,,,,,,49.9,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,29.7,50.0,,30.9,,,,,,48.5,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,29.1,52.0,,30.3,,,,,,47.3,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
DELHI,IGNOU,28.6,65.0,,31.0,,,,,,58.3,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,28.7,64.0,,31.0,,,,,,58.0,,Region 4,,Region 5,2025-05-04 20:38:26,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,30.9,56.0,,33.7,,,,,,59.8,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,28.6,58.0,,30.2,,,,,,51.1,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,29.0,53.0,,30.2,,,,,,47.9,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.1,68.0,,32.3,,,,,,60.4,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,29.5,57.0,,31.5,,,,,,55.4,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,28.1,61.0,,29.7,,,,,,51.3,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,28.1,54.0,,29.1,,,,,,43.8,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,30.7,61.0,,34.2,,,,,,61.0,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,29.1,46.0,,29.7,,,,,,42.9,,Region 4,,Region 4,2025-05-04 21:39:57,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,31.8,53.0,,34.8,,,,,,60.2,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,28.9,51.0,,29.9,,,,,,45.1,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,29.9,50.0,,31.2,,,,,,49.6,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,29.2,53.0,,30.5,,,,,,49.1,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
DELHI,IGNOU,30.0,55.0,,32.0,,,,,,56.0,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,29.3,60.0,,31.5,,,,,,57.4,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,28.6,54.0,,29.8,,,,,,46.7,,Region 4,,Region 5,2025-05-04 21:39:57,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.1,64.0,,31.7,,,,,,59.3,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,29.6,67.0,,33.1,,,,,,60.9,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,28.1,55.0,,29.1,,,,,,44.9,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,27.5,63.0,,29.0,,,,,,49.8,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,28.5,59.0,,30.1,,,,,,51.6,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,28.1,63.0,,29.9,,,,,,53.5,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,27.2,57.0,,28.1,,,,,,42.1,,Region 4,,Region 4,2025-05-04 22:37:51,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,30.0,66.0,,33.7,,,,,,61.3,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,28.6,51.0,,29.5,,,,,,43.4,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,30.9,56.0,,33.7,,,,,,59.8,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,28.0,53.0,,28.8,,,,,,42.6,,Region 4,,Region 4,2025-05-04 22:37:51,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,28.7,53.0,,29.8,,,,,,46.1,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,28.5,53.0,,29.5,,,,,,45.0,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
DELHI,IGNOU,29.1,58.0,,30.9,,,,,,54.1,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,28.6,60.0,,30.4,,,,,,53.3,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,27.1,61.0,,28.2,,,,,,45.3,,Region 4,,Region 5,2025-05-04 22:37:51,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,24.1,75.0,,25.0,,,,,,40.3,,Region 2 or 3,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,26.8,58.0,,27.6,,,,,,41.6,,Region 4,,Region 4,2025-05-04 23:41:38,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,28.5,69.0,,31.3,,,,,,59.7,,Region 4,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,28.2,62.0,,30.0,,,,,,53.0,,Region 4,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,27.4,62.0,,28.8,,,,,,48.1,,Region 4,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,26.2,60.0,,26.9,,,,,,41.0,,Region 4,,Region 4,2025-05-04 23:41:38,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,27.8,51.0,,28.4,,,,,,41.9,,Region 4,,Region 4,2025-05-04 23:41:38,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,30.3,55.0,,32.5,,,,,,57.7,,Region 4,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,27.6,52.0,,28.2,,,,,,41.8,,Region 4,,Region 4,2025-05-04 23:41:38,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,22.1,90.0,,23.4,,,,,,39.8,,Region 2 or 3,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
DELHI,IGNOU,28.1,59.0,,29.5,,,,,,49.2,,Region 4,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,26.9,61.0,,28.0,,,,,,44.1,,Region 4,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,28.5,65.0,,30.8,,,,,,57.8,,Region 4,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,27.8,54.0,,28.7,,,,,,42.5,,Region 4,,Region 4,2025-05-04 23:41:38,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,22.3,100.0,,24.0,,,,,,48.4,,Region 2 or 3,,Region 5,2025-05-04 23:41:38,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,28.5,65.0,26.5,30.803022,4.0,57.798032,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
DELHI,IGNOU,29.3,58.0,26.8,31.267796,4.0,55.297132,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,29.3,54.0,26.6,30.787667,4.0,50.819734,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,29.3,59.0,26.9,31.394208,4.0,56.352624,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,28.9,58.0,26.5,30.634269,4.0,52.940983,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,31.3,56.0,28.5,34.418897,4.0,60.410748,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,27.8,53.0,25.2,28.568393,4.0,42.268957,4.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,28.1,60.0,25.9,29.620616,4.0,50.268986,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,27.8,63.0,25.7,29.456949,4.0,51.616403,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,29.0,56.0,26.4,30.561765,4.0,51.310189,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,29.0,64.0,26.9,31.537196,4.0,59.174094,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,29.8,73.0,28.2,34.625294,4.0,62.828987,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,28.0,69.0,26.3,30.416624,4.0,58.680505,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,30.6,66.0,28.5,34.984185,4.0,62.216824,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.1,67.0,27.2,32.134603,4.0,60.124592,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,UJWA_KVK,30.6,63.0,28.3,34.386262,4.0,61.374602,5.0,2025-04-30 19:25:49,,,,,,,,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,29.1,63.0,None,31.578387,Region 4,59.060346,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
DELHI,IGNOU,31.1,51.0,None,33.205640,Region 4,57.600636,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,30.1,50.0,None,31.502430,Region 4,50.807129,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,29.9,56.0,None,31.979378,Region 4,56.553988,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,29.7,54.0,None,31.398269,Region 4,53.184992,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,32.1,53.0,None,35.321500,Region 4,60.686535,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,28.1,52.0,None,28.886519,Region 4,42.554031,Region 4,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,28.8,58.0,None,30.479142,Region 4,52.340599,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,29.1,57.0,None,30.830113,Region 4,53.029533,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,30.9,50.0,None,32.729655,Region 4,55.381980,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,29.5,62.0,None,32.140183,Region 4,59.401257,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,30.2,71.0,None,35.138373,Region 4,62.946646,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,29.1,63.0,None,31.578387,Region 4,59.060346,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,30.9,65.0,None,35.428912,Region 4,62.410315,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.4,65.0,None,32.398161,Region 4,60.060069,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,UJWA_KVK,31.3,59.0,None,35.005249,Region 4,61.299955,Region 5,2025-04-30 20:05:22,,,,,,,,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,29.2,63.0,None,31.752417,Region 4,59.213452,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
DELHI,IGNOU,31.1,51.0,None,33.205640,Region 4,57.600636,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,30.1,50.0,None,31.502430,Region 4,50.807129,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,29.7,54.0,None,31.398269,Region 4,53.184992,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,32.1,53.0,None,35.321500,Region 4,60.686535,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,28.6,51.0,None,29.473895,Region 4,43.395321,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,29.1,57.0,None,30.830113,Region 4,53.029533,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,29.9,61.0,None,32.705617,Region 4,59.736026,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,30.7,69.0,None,35.870421,Region 4,63.209587,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,29.9,62.0,None,32.861238,Region 4,60.013549,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,31.0,63.0,None,35.216424,Region 4,61.998038,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.6,64.0,None,32.617797,Region 4,60.099964,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,UJWA_KVK,31.8,57.0,None,35.586225,Region 4,61.463950,Region 5,2025-04-30 20:12:15,,,,,,,,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,30.9,58.0,,34.041166,Region 4,60.399259,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
DELHI,IGNOU,33.5,44.0,,35.919499,Region 4,59.766855,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,31.9,44.0,,33.352611,Region 4,53.517044,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,30.8,50.0,,32.572121,Region 4,54.825426,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,31.1,48.0,,32.744819,Region 4,54.100730,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,34.0,47.0,,37.540574,Region 4,61.500249,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,30.6,45.0,,31.597311,Region 4,47.502406,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,31.7,47.0,,33.527155,Region 4,56.175699,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,35.7,37.0,,37.964813,Region 4,60.240916,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,32.4,54.0,,36.117195,Region 4,61.443965,Region 5,2025-04-30 21:22:02,,,,,,,,,,,,,,,,,,,,,
