LOGGED_AT (IST),DISTRICT,STATION,Local Region,TEMP,RH,EHI (in shade),Light Work Heat Stress Zone,EHI_350 (in shade),Hard Labor Heat Stress Zone,STATE,EHI (in shade °C),EHI_350 (in shade °C),EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-05-24 07:56:14,HYDERABAD,GOLKONDA,,28.0,74.0,,Zone 4,,Zone 5,TELANGANA,30.4,60.1,30.4,Zone 4,59.0,Zone 5,36.6,Zone 4,62.3,Zone 5,47.4,Zone 5,64.7,Zone 5,60.1,Zone 5,66.5,Zone 5
2025-05-24 07:56:14,JAGTIAL,JAGTIYAL_AMFU,,25.8,96.0,,Zone 4,,Zone 5,TELANGANA,28.9,61.8,28.9,Zone 4,60.7,Zone 5,36.1,Zone 4,63.8,Zone 5,55.7,Zone 5,66.0,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-05-24 07:56:14,NALGONDA,NALGONDA_ARG,,29.0,91.0,,Zone 4,,Zone 5,TELANGANA,35.8,66.0,35.8,Zone 4,65.0,Zone 5,58.2,Zone 5,67.4,Zone 5,63.0,Zone 5,69.1,Zone 5,66.0,Zone 5,72.2,Zone 6
2025-05-24 07:56:14,JOGULAMBA_GADWAL,JURALA_CWC,,27.2,63.0,,Zone 4,,Zone 5,TELANGANA,27.7,46.4,27.7,Zone 4,41.8,Zone 5,33.1,Zone 4,57.4,Zone 5,38.1,Zone 4,61.4,Zone 5,46.4,Zone 5,63.7,Zone 5
2025-05-24 07:56:14,KHAMMAM,KHAMMAM,,28.0,93.0,,Zone 4,,Zone 5,TELANGANA,33.3,64.7,33.3,Zone 4,63.7,Zone 5,50.8,Zone 5,66.2,Zone 5,61.5,Zone 5,68.1,Zone 5,64.7,Zone 5,69.9,Zone 6
2025-05-24 07:56:14,KHAMMAM,WYRA_KVK,,26.9,100.0,,Zone 4,,Zone 5,TELANGANA,31.8,64.5,31.8,Zone 4,63.5,Zone 5,49.5,Zone 5,66.1,Zone 5,61.3,Zone 5,68.0,Zone 5,64.5,Zone 5,69.5,Zone 6
2025-05-24 07:56:14,KUMURAM_BHEEM_ASIFABAD,ASIFABAD,,24.9,88.0,,Zone 4,,Zone 5,TELANGANA,26.4,56.8,26.4,Zone 4,52.3,Zone 5,32.7,Zone 4,60.8,Zone 5,39.6,Zone 5,63.4,Zone 5,56.8,Zone 5,65.4,Zone 5
2025-05-24 07:56:14,MAHABUBABAD,MALYAL_KVK,,27.4,99.0,,Zone 4,,Zone 5,TELANGANA,33.0,65.1,33.0,Zone 4,64.2,Zone 5,53.6,Zone 5,66.7,Zone 5,62.1,Zone 5,68.5,Zone 5,65.1,Zone 5,70.7,Zone 6
2025-05-24 07:56:14,MAHBUBNAGAR,MAHBUBNAGAR,,26.6,78.0,,Zone 4,,Zone 5,TELANGANA,28.1,57.7,28.1,Zone 4,53.3,Zone 5,34.3,Zone 4,61.0,Zone 5,40.6,Zone 5,63.6,Zone 5,57.7,Zone 5,65.6,Zone 5
2025-05-24 07:56:14,MEDAK,ARS_BASANTHPUR,,25.4,94.0,,Zone 4,,Zone 5,TELANGANA,27.7,60.5,27.7,Zone 4,59.4,Zone 5,34.6,Zone 4,62.6,Zone 5,49.5,Zone 5,65.0,Zone 5,60.5,Zone 5,66.8,Zone 5
